"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2017,"Garcia, Greg",138,"L",287,0,"0.0",".000",287,"100.0",".317"
2017,"Molina, Yadier",138,"R",534,0,"0.0",".000",534,"100.0",".313"
2017,"Fowler, Dexter",138,"R",120,0,"0.0",".000",120,"100.0",".326"
2017,"Sucre, Jesús",139,"R",192,0,"0.0",".000",192,"100.0",".296"
2017,"Robertson, Daniel",139,"R",254,0,"0.0",".000",254,"100.0",".284"
2017,"Smith, Mallex",139,"L",282,0,"0.0",".000",282,"100.0",".301"
2017,"DeShields, Delino",140,"R",439,0,"0.0",".000",439,"100.0",".316"
2017,"Barney, Darwin",141,"R",361,0,"0.0",".000",361,"100.0",".261"
2017,"Travis, Devon",141,"R",196,0,"0.0",".000",196,"100.0",".309"
2017,"Turner, Trea",120,"R",446,0,"0.0",".000",446,"100.0",".338"
2017,"Eaton, Adam",120,"L",102,0,"0.0",".000",102,"100.0",".380"
2017,"Kendrick, Howie",120,"R",333,0,"0.0",".000",333,"100.0",".360"
2017,"Marte, Ketel",109,"L",179,1,"0.6",".000",178,"99.4",".327"
2017,"Suzuki, Kurt",144,"R",303,1,"0.3",".877",302,"99.7",".372"
2017,"Peterson, Jace",144,"L",208,1,"0.5",".000",207,"99.5",".283"
2017,"Santana, Danny",144,"L",133,1,"0.8",".000",132,"99.2",".279"
2017,"Camargo, Johan",144,"L",179,1,"0.6",".000",178,"99.4",".278"
2017,"Pedroia, Dustin",111,"R",459,1,"0.2",".877",458,"99.8",".330"
2017,"Vázquez, Christian",111,"R",345,1,"0.3",".693",344,"99.7",".317"
2017,"Kivlehan, Patrick",113,"R",203,1,"0.5",".723",202,"99.5",".301"
2017,"Urshela, Gio",114,"R",165,1,"0.6",".000",164,"99.4",".244"
2017,"Guyer, Brandon",114,"R",192,1,"0.5",".000",191,"99.5",".295"
2017,"Ramírez, José",114,"R",224,1,"0.4",".877",223,"99.6",".392"
2017,"García, Willy",145,"R",118,1,"0.8",".000",117,"99.2",".296"
2017,"Iglesias, Jose",116,"R",489,1,"0.2",".000",488,"99.8",".284"
2017,"Correa, Carlos",117,"R",474,1,"0.2",".877",473,"99.8",".394"
2017,"Cuthbert, Cheslor",118,"R",151,1,"0.7",".000",150,"99.3",".266"
2017,"Rojas, Miguel",146,"R",299,1,"0.3",".000",298,"99.7",".319"
2017,"Santana, Domingo",158,"R",602,1,"0.2",".000",601,"99.8",".366"
2017,"Villar, Jonathan",158,"L",306,1,"0.3",".000",305,"99.7",".296"
2017,"Escobar, Eduardo",142,"R",175,1,"0.6",".000",174,"99.4",".315"
2017,"Flores, Wilmer",121,"R",359,1,"0.3",".000",358,"99.7",".332"
2017,"Lowrie, Jed",133,"R",152,1,"0.7",".000",151,"99.3",".330"
2017,"Moroff, Max",134,"L",100,1,"1.0",".000",99,"99.0",".274"
2017,"Mercer, Jordy",134,"R",540,1,"0.2",".000",539,"99.8",".312"
2017,"Osuna, José",134,"R",227,1,"0.4",".000",226,"99.6",".295"
2017,"Bell, Josh",134,"R",140,1,"0.7",".000",139,"99.3",".327"
2017,"Frazier, Adam",134,"L",448,1,"0.2",".877",447,"99.8",".322"
2017,"Pirela, José",135,"R",340,1,"0.3",".877",339,"99.7",".352"
2017,"Aybar, Erick",135,"L",263,1,"0.4",".000",262,"99.6",".284"
2017,"Margot, Manuel",135,"R",522,1,"0.2",".693",521,"99.8",".311"
2017,"Córdoba, Allen",135,"R",225,1,"0.4",".693",224,"99.6",".256"
2017,"Segura, Jean",136,"R",561,1,"0.2",".693",560,"99.8",".333"
2017,"Martínez, José A.",138,"R",303,1,"0.3",".000",302,"99.7",".380"
2017,"Hechavarría, Adeiny",139,"R",345,1,"0.3",".000",344,"99.7",".295"
2017,"Tomás, Yasmany",109,"R",175,2,"1.1",".000",173,"98.9",".325"
2017,"Markakis, Nick",144,"L",654,2,"0.3",".000",652,"99.7",".322"
2017,"Flowers, Tyler",144,"R",367,2,"0.5",".438",365,"99.5",".358"
2017,"Gentry, Craig",110,"R",116,2,"1.7",".000",114,"98.3",".305"
2017,"Núñez, Eduardo",111,"R",489,2,"0.4",".438",487,"99.6",".343"
2017,"Bogaerts, Xander",111,"R",627,2,"0.3",".877",625,"99.7",".320"
2017,"Zobrist, Ben",112,"R",120,2,"1.7",".438",118,"98.3",".238"
2017,"Sánchez, Yolmer",145,"L",395,2,"0.5",".000",393,"99.5",".327"
